day,scenario,activity,class,is_anomaly,start,end,duration_sec
2025-01-03,morning,Cook breakfast,normal,0,2025-01-03 08:31:50,2025-01-03 08:39:14,444
2025-01-03,morning,Eat breakfast,normal,0,2025-01-03 08:39:14,2025-01-03 08:46:50,456
2025-01-03,morning,Wash dishes,normal,0,2025-01-03 08:46:50,2025-01-03 09:01:00,849
2025-01-03,morning,Bathe,normal,0,2025-01-03 09:01:00,2025-01-03 09:10:01,541
2025-01-03,morning,Leave home,normal,0,2025-01-03 09:10:01,2025-01-03 09:10:25,23
2025-01-03,noon,Enter home,normal,0,2025-01-03 13:00:00,2025-01-03 13:00:14,14
2025-01-03,noon,Cook lunch,normal,0,2025-01-03 13:00:14,2025-01-03 13:07:51,457
2025-01-03,noon,Go to toilet,normal,0,2025-01-03 13:07:51,2025-01-03 13:10:35,163
2025-01-03,noon,Eat lunch,normal,0,2025-01-03 13:10:35,2025-01-03 13:21:58,683
2025-01-03,noon,Wash dishes,normal,0,2025-01-03 13:21:58,2025-01-03 13:35:55,837
2025-01-03,noon,Go to toilet,normal,0,2025-01-03 13:35:55,2025-01-03 13:38:17,142
2025-01-03,noon,Leave home,normal,0,2025-01-03 13:38:17,2025-01-03 13:38:42,24
2025-01-03,evening,Enter home,normal,0,2025-01-03 18:00:00,2025-01-03 18:00:14,14
2025-01-03,evening,Watch TV,normal,0,2025-01-03 18:00:14,2025-01-03 18:23:08,1374
2025-01-03,evening,Cook dinner,normal,0,2025-01-03 18:23:08,2025-01-03 18:36:07,779
2025-01-03,evening,Eat dinner,normal,0,2025-01-03 18:36:07,2025-01-03 18:47:42,694
2025-01-03,evening,Wash dishes,normal,0,2025-01-03 18:47:42,2025-01-03 18:58:26,644
2025-01-03,evening,Watch TV,normal,0,2025-01-03 18:58:26,2025-01-03 19:22:18,1432
2025-01-03,evening,Read,normal,0,2025-01-03 19:22:18,2025-01-03 19:35:37,798
2025-01-03,evening,Bathe,normal,0,2025-01-03 19:35:37,2025-01-03 19:48:05,748
2025-01-03,evening,Go to toilet,normal,0,2025-01-03 19:48:05,2025-01-03 19:50:30,144
2025-01-03,evening,Go to toilet,normal,0,2025-01-03 19:50:30,2025-01-03 19:53:26,175
2025-01-03,evening,Missed medication,missed_medication,1,2025-01-03 19:53:26,2025-01-03 19:54:37,71
2025-01-03,evening,Sleep,normal,0,2025-01-03 19:54:37,2025-01-03 20:45:15,3037
2025-01-03,evening,Fall,fall,1,2025-01-03 22:00:00,2025-01-03 22:58:15,3495
2025-01-04,morning,Sleep in Bed,normal,0,2025-01-04 07:00:00,2025-01-04 07:18:53,1133
2025-01-04,morning,Take medication,normal,0,2025-01-04 07:18:53,2025-01-04 07:19:35,41
2025-01-04,morning,Go to toilet,normal,0,2025-01-04 07:19:35,2025-01-04 07:21:19,103
2025-01-04,morning,Go to toilet,normal,0,2025-01-04 07:21:19,2025-01-04 07:22:59,100
2025-01-04,morning,Dress,normal,0,2025-01-04 07:22:59,2025-01-04 07:25:16,136
2025-01-04,morning,Cook breakfast,normal,0,2025-01-04 07:25:16,2025-01-04 07:31:14,358
2025-01-04,morning,Eat breakfast,normal,0,2025-01-04 07:31:14,2025-01-04 07:37:35,380
2025-01-04,morning,Wash dishes,normal,0,2025-01-04 07:37:35,2025-01-04 07:49:49,733
2025-01-04,morning,Bathe,normal,0,2025-01-04 07:49:49,2025-01-04 07:58:30,521
2025-01-04,morning,Leave home,normal,0,2025-01-04 07:58:30,2025-01-04 07:58:54,23
2025-01-04,noon,Enter home,normal,0,2025-01-04 12:00:00,2025-01-04 12:00:14,14
2025-01-04,noon,Cook lunch,normal,0,2025-01-04 12:00:14,2025-01-04 12:06:57,403
2025-01-04,noon,Eat lunch,normal,0,2025-01-04 12:06:57,2025-01-04 12:14:18,440
2025-01-04,noon,Wash dishes,normal,0,2025-01-04 12:14:18,2025-01-04 12:23:21,543
2025-01-04,noon,Go to toilet,normal,0,2025-01-04 12:23:21,2025-01-04 12:25:25,123
2025-01-04,noon,Go to toilet,normal,0,2025-01-04 12:25:25,2025-01-04 12:27:42,137
2025-01-04,noon,Leave home,normal,0,2025-01-04 12:27:42,2025-01-04 12:28:07,24
2025-01-04,evening,Enter home,normal,0,2025-01-04 18:00:00,2025-01-04 18:00:14,14
2025-01-04,evening,Cook dinner,normal,0,2025-01-04 18:00:14,2025-01-04 18:10:34,620
2025-01-04,evening,Eat dinner,normal,0,2025-01-04 18:10:34,2025-01-04 18:19:42,548
2025-01-04,evening,Wash dishes,normal,0,2025-01-04 18:19:42,2025-01-04 18:29:08,565
2025-01-04,evening,Watch TV,normal,0,2025-01-04 18:29:08,2025-01-04 18:49:25,1217
2025-01-04,evening,Go to toilet,normal,0,2025-01-04 18:49:25,2025-01-04 18:51:40,134
2025-01-04,evening,Read,normal,0,2025-01-04 18:51:40,2025-01-04 19:02:28,648
2025-01-04,evening,Bathe,normal,0,2025-01-04 19:02:28,2025-01-04 19:09:23,414
2025-01-04,evening,Go to toilet,normal,0,2025-01-04 19:09:23,2025-01-04 19:11:30,126
2025-01-04,evening,Missed medication,missed_medication,1,2025-01-04 19:11:30,2025-01-04 19:12:27,57
2025-01-04,evening,Sleep,normal,0,2025-01-04 19:12:27,2025-01-04 19:48:51,2184
2025-01-04,evening,Prolonged inactivity,prolonged_inactivity,1,2025-01-04 22:00:00,2025-01-04 23:56:21,6981
2025-01-05,morning,Sleep in Bed,normal,0,2025-01-05 06:00:00,2025-01-05 06:20:34,1234
2025-01-05,morning,Take medication,normal,0,2025-01-05 06:20:34,2025-01-05 06:21:10,36
2025-01-05,morning,Go to toilet,normal,0,2025-01-05 06:21:10,2025-01-05 06:23:17,126
2025-01-05,morning,Dress,normal,0,2025-01-05 06:23:17,2025-01-05 06:25:30,133
2025-01-05,morning,Cook breakfast,normal,0,2025-01-05 06:25:30,2025-01-05 06:30:41,311
2025-01-05,morning,Eat breakfast,normal,0,2025-01-05 06:30:41,2025-01-05 06:36:20,338
2025-01-05,morning,Wash dishes,normal,0,2025-01-05 06:36:20,2025-01-05 06:45:56,576
2025-01-05,morning,Bathe,normal,0,2025-01-05 06:45:56,2025-01-05 06:52:41,404
2025-01-05,morning,Go to toilet,normal,0,2025-01-05 06:52:41,2025-01-05 06:54:44,122
2025-01-05,morning,Leave home,normal,0,2025-01-05 06:54:44,2025-01-05 06:55:08,24
2025-01-05,noon,Enter home,normal,0,2025-01-05 12:00:00,2025-01-05 12:00:14,14
2025-01-05,noon,Cook lunch,normal,0,2025-01-05 12:00:14,2025-01-05 12:06:28,374
2025-01-05,noon,Eat lunch,normal,0,2025-01-05 12:06:28,2025-01-05 12:12:58,389
2025-01-05,noon,Wash dishes,normal,0,2025-01-05 12:12:58,2025-01-05 12:20:55,476
2025-01-05,noon,Go to toilet,normal,0,2025-01-05 12:20:55,2025-01-05 12:22:59,124
2025-01-05,noon,Leave home,normal,0,2025-01-05 12:22:59,2025-01-05 12:23:24,24
2025-01-05,evening,Enter home,normal,0,2025-01-05 19:00:00,2025-01-05 19:00:14,14
2025-01-05,evening,Cook dinner,normal,0,2025-01-05 19:00:14,2025-01-05 19:09:58,584
2025-01-05,evening,Watch TV,normal,0,2025-01-05 19:09:58,2025-01-05 19:30:42,1243
2025-01-05,evening,Wash dishes,normal,0,2025-01-05 19:30:42,2025-01-05 19:39:02,500
2025-01-05,evening,Watch TV,normal,0,2025-01-05 19:39:02,2025-01-05 19:59:45,1242
2025-01-05,evening,Read,normal,0,2025-01-05 19:59:45,2025-01-05 20:10:50,665
2025-01-05,evening,Bathe,normal,0,2025-01-05 20:10:50,2025-01-05 20:16:49,359
2025-01-05,evening,Go to toilet,normal,0,2025-01-05 20:16:49,2025-01-05 20:18:16,86
2025-01-05,evening,Go to toilet,normal,0,2025-01-05 20:18:16,2025-01-05 20:20:00,103
2025-01-05,evening,Take medication,normal,0,2025-01-05 20:20:00,2025-01-05 20:20:44,44
2025-01-05,evening,Sleep,normal,0,2025-01-05 20:20:44,2025-01-05 20:51:58,1873
2025-01-06,morning,Sleep in Bed,normal,0,2025-01-06 08:00:00,2025-01-06 08:29:23,1763
2025-01-06,morning,Take medication,normal,0,2025-01-06 08:29:23,2025-01-06 08:30:10,47
2025-01-06,morning,Go to toilet,normal,0,2025-01-06 08:30:10,2025-01-06 08:32:31,141
2025-01-06,morning,Dress,normal,0,2025-01-06 08:32:31,2025-01-06 08:35:52,200
2025-01-06,morning,Cook breakfast,normal,0,2025-01-06 08:35:52,2025-01-06 08:43:59,487
2025-01-06,morning,Eat breakfast,normal,0,2025-01-06 08:43:59,2025-01-06 08:54:44,644
2025-01-06,morning,Wash dishes,normal,0,2025-01-06 08:54:44,2025-01-06 09:08:05,801
2025-01-06,morning,Bathe,normal,0,2025-01-06 09:08:05,2025-01-06 09:18:42,637
2025-01-06,morning,Leave home,normal,0,2025-01-06 09:18:42,2025-01-06 09:19:06,23
2025-01-06,noon,Enter home,normal,0,2025-01-06 13:00:00,2025-01-06 13:00:14,14
2025-01-06,noon,Cook lunch,normal,0,2025-01-06 13:00:14,2025-01-06 13:08:16,482
2025-01-06,noon,Eat lunch,normal,0,2025-01-06 13:08:16,2025-01-06 13:20:55,759
2025-01-06,noon,Wash dishes,normal,0,2025-01-06 13:20:55,2025-01-06 13:31:53,657
2025-01-06,noon,Go to toilet,normal,0,2025-01-06 13:31:53,2025-01-06 13:34:39,166
2025-01-06,noon,Leave home,normal,0,2025-01-06 13:34:39,2025-01-06 13:35:04,24
2025-01-06,noon,Go to toilet,normal,0,2025-01-06 13:35:04,2025-01-06 13:37:43,158
2025-01-06,evening,Enter home,normal,0,2025-01-06 18:00:00,2025-01-06 18:00:26,26
2025-01-06,evening,Eat dinner,normal,0,2025-01-06 18:00:26,2025-01-06 18:15:45,919
2025-01-06,evening,Watch TV,normal,0,2025-01-06 18:15:45,2025-01-06 18:41:56,1570
2025-01-06,evening,Read,normal,0,2025-01-06 18:41:56,2025-01-06 18:56:54,897
2025-01-06,evening,Bathe,normal,0,2025-01-06 18:56:54,2025-01-06 19:09:17,743
2025-01-06,evening,Go to toilet,normal,0,2025-01-06 19:09:17,2025-01-06 19:11:31,134
2025-01-06,evening,Take medication,normal,0,2025-01-06 19:11:31,2025-01-06 19:12:33,62
2025-01-06,evening,Sleep,normal,0,2025-01-06 19:12:33,2025-01-06 20:00:04,2850
2025-01-06,evening,Fall,fall,1,2025-01-06 22:00:00,2025-01-06 23:04:01,3841
2025-01-07,morning,Sleep in Bed,normal,0,2025-01-07 07:00:00,2025-01-07 07:19:58,1198
2025-01-07,morning,Take medication,normal,0,2025-01-07 07:19:58,2025-01-07 07:20:44,45
2025-01-07,morning,Go to toilet,normal,0,2025-01-07 07:20:44,2025-01-07 07:22:41,117
2025-01-07,morning,Dress,normal,0,2025-01-07 07:22:41,2025-01-07 07:24:49,128
2025-01-07,morning,Cook breakfast,normal,0,2025-01-07 07:24:49,2025-01-07 07:31:25,395
2025-01-07,morning,Go to toilet,normal,0,2025-01-07 07:31:25,2025-01-07 07:33:54,148
2025-01-07,morning,Eat breakfast,normal,0,2025-01-07 07:33:54,2025-01-07 07:42:28,513
2025-01-07,morning,Wash dishes,normal,0,2025-01-07 07:42:28,2025-01-07 07:54:29,721
2025-01-07,morning,Bathe,normal,0,2025-01-07 07:54:29,2025-01-07 08:01:51,442
2025-01-07,morning,Leave home,normal,0,2025-01-07 08:01:51,2025-01-07 08:02:15,23
2025-01-07,noon,Enter home,normal,0,2025-01-07 12:00:00,2025-01-07 12:00:14,14
2025-01-07,noon,Cook lunch,normal,0,2025-01-07 12:00:14,2025-01-07 12:07:49,455
2025-01-07,noon,Eat lunch,normal,0,2025-01-07 12:07:49,2025-01-07 12:15:30,461
2025-01-07,noon,Wash dishes,normal,0,2025-01-07 12:15:30,2025-01-07 12:26:17,647
2025-01-07,noon,Go to toilet,normal,0,2025-01-07 12:26:17,2025-01-07 12:28:15,117
2025-01-07,noon,Leave home,normal,0,2025-01-07 12:28:15,2025-01-07 12:28:40,24
2025-01-07,evening,Enter home,normal,0,2025-01-07 18:00:00,2025-01-07 18:00:14,14
2025-01-07,evening,Cook dinner,normal,0,2025-01-07 18:00:14,2025-01-07 18:10:58,644
2025-01-07,evening,Eat dinner,normal,0,2025-01-07 18:10:58,2025-01-07 18:22:25,686
2025-01-07,evening,Wash dishes,normal,0,2025-01-07 18:22:25,2025-01-07 18:32:05,579
2025-01-07,evening,Watch TV,normal,0,2025-01-07 18:32:05,2025-01-07 18:51:35,1170
2025-01-07,evening,Watch TV,normal,0,2025-01-07 18:51:35,2025-01-07 19:15:18,1423
2025-01-07,evening,Read,normal,0,2025-01-07 19:15:18,2025-01-07 19:25:24,605
2025-01-07,evening,Bathe,normal,0,2025-01-07 19:25:24,2025-01-07 19:34:30,546
2025-01-07,evening,Go to toilet,normal,0,2025-01-07 19:34:30,2025-01-07 19:36:17,107
2025-01-07,evening,Take medication,normal,0,2025-01-07 19:36:17,2025-01-07 19:37:02,44
2025-01-07,evening,Go to toilet,normal,0,2025-01-07 19:37:02,2025-01-07 19:38:51,109
2025-01-07,evening,Sleep,normal,0,2025-01-07 19:38:51,2025-01-07 20:16:55,2284
2025-01-08,morning,Sleep in Bed,normal,0,2025-01-08 06:00:00,2025-01-08 06:18:23,1103
2025-01-08,morning,Take medication,normal,0,2025-01-08 06:18:23,2025-01-08 06:19:01,38
2025-01-08,morning,Go to toilet,normal,0,2025-01-08 06:19:01,2025-01-08 06:21:05,124
2025-01-08,morning,Dress,normal,0,2025-01-08 06:21:05,2025-01-08 06:23:05,119
2025-01-08,morning,Cook breakfast,normal,0,2025-01-08 06:23:05,2025-01-08 06:27:52,287
2025-01-08,morning,Eat breakfast,normal,0,2025-01-08 06:27:52,2025-01-08 06:34:22,390
2025-01-08,morning,Wash dishes,normal,0,2025-01-08 06:34:22,2025-01-08 06:44:22,599
2025-01-08,morning,Bathe,normal,0,2025-01-08 06:44:22,2025-01-08 06:52:30,487
2025-01-08,morning,Leave home,normal,0,2025-01-08 06:52:30,2025-01-08 06:52:54,23
2025-01-08,noon,Enter home,normal,0,2025-01-08 12:00:00,2025-01-08 12:00:14,14
2025-01-08,noon,Cook lunch,normal,0,2025-01-08 12:00:14,2025-01-08 12:05:50,336
2025-01-08,noon,Eat lunch,normal,0,2025-01-08 12:05:50,2025-01-08 12:11:43,352
2025-01-08,noon,Wash dishes,normal,0,2025-01-08 12:11:43,2025-01-08 12:21:31,588
2025-01-08,noon,Go to toilet,normal,0,2025-01-08 12:21:31,2025-01-08 12:23:28,116
2025-01-08,noon,Leave home,normal,0,2025-01-08 12:23:28,2025-01-08 12:23:53,24
2025-01-08,evening,Enter home,normal,0,2025-01-08 19:00:00,2025-01-08 19:00:14,14
2025-01-08,evening,Cook dinner,normal,0,2025-01-08 19:00:14,2025-01-08 19:07:49,455
2025-01-08,evening,Eat dinner,normal,0,2025-01-08 19:07:49,2025-01-08 19:17:26,576
2025-01-08,evening,Wash dishes,normal,0,2025-01-08 19:17:26,2025-01-08 19:26:24,538
2025-01-08,evening,Watch TV,normal,0,2025-01-08 19:26:24,2025-01-08 19:45:16,1131
2025-01-08,evening,Read,normal,0,2025-01-08 19:45:16,2025-01-08 19:55:12,596
2025-01-08,evening,Bathe,normal,0,2025-01-08 19:55:12,2025-01-08 20:01:40,387
2025-01-08,evening,Go to toilet,normal,0,2025-01-08 20:01:40,2025-01-08 20:03:30,109
2025-01-08,evening,Take medication,normal,0,2025-01-08 20:03:30,2025-01-08 20:04:11,41
2025-01-08,evening,Go to toilet,normal,0,2025-01-08 20:04:11,2025-01-08 20:05:52,101
2025-01-08,evening,Sleep,normal,0,2025-01-08 20:05:52,2025-01-08 20:38:28,1955
2025-01-09,morning,Sleep in Bed,normal,0,2025-01-09 08:00:00,2025-01-09 08:23:22,1402
2025-01-09,morning,Take medication,normal,0,2025-01-09 08:23:22,2025-01-09 08:24:21,58
2025-01-09,morning,Go to toilet,normal,0,2025-01-09 08:24:21,2025-01-09 08:26:57,156
2025-01-09,morning,Dress,normal,0,2025-01-09 08:26:57,2025-01-09 08:30:10,193
2025-01-09,morning,Cook breakfast,normal,0,2025-01-09 08:30:10,2025-01-09 08:37:38,447
2025-01-09,morning,Eat breakfast,normal,0,2025-01-09 08:37:38,2025-01-09 08:48:13,635
2025-01-09,morning,Wash dishes,normal,0,2025-01-09 08:48:13,2025-01-09 09:04:00,947
2025-01-09,morning,Bathe,normal,0,2025-01-09 09:04:00,2025-01-09 09:14:40,639
2025-01-09,morning,Leave home,normal,0,2025-01-09 09:14:40,2025-01-09 09:15:03,23
2025-01-09,noon,Enter home,normal,0,2025-01-09 13:00:00,2025-01-09 13:00:14,14
2025-01-09,noon,Cook lunch,normal,0,2025-01-09 13:00:14,2025-01-09 13:07:59,465
2025-01-09,noon,Eat lunch,normal,0,2025-01-09 13:07:59,2025-01-09 13:19:52,713
2025-01-09,noon,Wash dishes,normal,0,2025-01-09 13:19:52,2025-01-09 13:33:46,833
2025-01-09,noon,Go to toilet,normal,0,2025-01-09 13:33:46,2025-01-09 13:36:22,156
2025-01-09,noon,Leave home,normal,0,2025-01-09 13:36:22,2025-01-09 13:36:47,24
2025-01-09,evening,Enter home,normal,0,2025-01-09 18:00:00,2025-01-09 18:00:14,14
2025-01-09,evening,Cook dinner,normal,0,2025-01-09 18:00:14,2025-01-09 18:14:13,839
2025-01-09,evening,Eat dinner,normal,0,2025-01-09 18:14:13,2025-01-09 18:26:35,742
2025-01-09,evening,Wash dishes,normal,0,2025-01-09 18:26:35,2025-01-09 18:37:57,682
2025-01-09,evening,Watch TV,normal,0,2025-01-09 18:37:57,2025-01-09 19:02:12,1454
2025-01-09,evening,Read,normal,0,2025-01-09 19:02:12,2025-01-09 19:17:31,919
2025-01-09,evening,Bathe,normal,0,2025-01-09 19:17:31,2025-01-09 19:26:43,551
2025-01-09,evening,Go to toilet,normal,0,2025-01-09 19:26:43,2025-01-09 19:29:45,182
2025-01-09,evening,Take medication,normal,0,2025-01-09 19:29:45,2025-01-09 19:30:42,56
2025-01-09,evening,Sleep,normal,0,2025-01-09 19:30:42,2025-01-09 20:29:25,3523
2025-01-09,evening,Prolonged inactivity,prolonged_inactivity,1,2025-01-09 22:00:00,2025-01-10 01:06:45,11205
2025-01-10,morning,Sleep in Bed,normal,0,2025-01-10 07:00:00,2025-01-10 07:16:54,1014
2025-01-10,morning,Take medication,normal,0,2025-01-10 07:16:54,2025-01-10 07:17:38,44
2025-01-10,morning,Go to toilet,normal,0,2025-01-10 07:17:38,2025-01-10 07:19:59,141
2025-01-10,morning,Dress,normal,0,2025-01-10 07:19:59,2025-01-10 07:22:42,162
2025-01-10,morning,Go to toilet,normal,0,2025-01-10 07:22:42,2025-01-10 07:25:02,139
2025-01-10,morning,Cook breakfast,normal,0,2025-01-10 07:25:02,2025-01-10 07:31:31,389
2025-01-10,morning,Eat breakfast,normal,0,2025-01-10 07:31:31,2025-01-10 07:38:59,448
2025-01-10,morning,Wash dishes,normal,0,2025-01-10 07:38:59,2025-01-10 07:47:53,534
2025-01-10,morning,Bathe,normal,0,2025-01-10 07:47:53,2025-01-10 07:54:54,420
2025-01-10,morning,Leave home,normal,0,2025-01-10 07:54:54,2025-01-10 07:55:18,23
2025-01-10,noon,Enter home,normal,0,2025-01-10 12:00:00,2025-01-10 12:00:14,14
2025-01-10,noon,Cook lunch,normal,0,2025-01-10 12:00:14,2025-01-10 12:07:41,447
2025-01-10,noon,Eat lunch,normal,0,2025-01-10 12:07:41,2025-01-10 12:16:57,555
2025-01-10,noon,Wash dishes,normal,0,2025-01-10 12:16:57,2025-01-10 12:28:40,703
2025-01-10,noon,Go to toilet,normal,0,2025-01-10 12:28:40,2025-01-10 12:30:35,115
2025-01-10,noon,Leave home,normal,0,2025-01-10 12:30:35,2025-01-10 12:31:00,24
2025-01-10,evening,Enter home,normal,0,2025-01-10 18:00:00,2025-01-10 18:00:14,14
2025-01-10,evening,Cook dinner,normal,0,2025-01-10 18:00:14,2025-01-10 18:10:56,642
2025-01-10,evening,Eat dinner,normal,0,2025-01-10 18:10:56,2025-01-10 18:19:34,517
2025-01-10,evening,Wash dishes,normal,0,2025-01-10 18:19:34,2025-01-10 18:31:33,719
2025-01-10,evening,Watch TV,normal,0,2025-01-10 18:31:33,2025-01-10 18:50:01,1108
2025-01-10,evening,Watch TV,normal,0,2025-01-10 18:50:01,2025-01-10 19:13:43,1421
2025-01-10,evening,Read,normal,0,2025-01-10 19:13:43,2025-01-10 19:25:47,724
2025-01-10,evening,Bathe,normal,0,2025-01-10 19:25:47,2025-01-10 19:35:32,584
2025-01-10,evening,Watch TV,normal,0,2025-01-10 19:35:32,2025-01-10 19:54:00,1107
2025-01-10,evening,Go to toilet,normal,0,2025-01-10 19:54:00,2025-01-10 19:56:31,150
2025-01-10,evening,Go to toilet,normal,0,2025-01-10 19:56:31,2025-01-10 19:58:30,119
2025-01-10,evening,Take medication,normal,0,2025-01-10 19:58:30,2025-01-10 19:59:16,46
2025-01-10,evening,Sleep,normal,0,2025-01-10 19:59:16,2025-01-10 20:45:35,2779
2025-01-10,evening,Fall,fall,1,2025-01-10 22:00:00,2025-01-10 22:50:20,3020
2025-01-11,morning,Sleep in Bed,normal,0,2025-01-11 06:00:00,2025-01-11 06:19:16,1156
2025-01-11,morning,Take medication,normal,0,2025-01-11 06:19:16,2025-01-11 06:19:53,36
2025-01-11,morning,Go to toilet,normal,0,2025-01-11 06:19:53,2025-01-11 06:21:53,119
2025-01-11,morning,Dress,normal,0,2025-01-11 06:21:53,2025-01-11 06:23:50,117
2025-01-11,morning,Go to toilet,normal,0,2025-01-11 06:23:50,2025-01-11 06:25:50,120
2025-01-11,morning,Cook breakfast,normal,0,2025-01-11 06:25:50,2025-01-11 06:30:56,305
2025-01-11,morning,Go to toilet,normal,0,2025-01-11 06:30:56,2025-01-11 06:32:39,103
